timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-15T19:40:18.897,24.646,0,0.000,-69.2,14.1,8.419,-0.02,0
2026-09-15T19:40:18.996,24.746,0,0.000,-273.1,14.2,8.419,-0.10,0
2026-09-15T19:40:19.097,24.847,0,0.000,-273.1,14.1,8.419,0.00,0
2026-09-15T19:40:19.198,24.947,0,0.000,-273.1,14.2,8.419,-0.14,0
2026-09-15T19:40:19.299,25.049,0,0.000,-273.1,14.2,8.419,-0.15,0
2026-09-15T19:40:19.400,25.150,0,0.000,-273.1,14.3,8.419,-0.07,0
2026-09-15T19:40:19.499,25.248,0,0.000,-273.1,14.0,8.419,-0.10,0
2026-09-15T19:40:19.599,25.348,0,0.000,-273.1,14.3,8.419,-0.02,0
2026-09-15T19:40:19.699,25.448,0,0.000,-273.1,14.0,8.419,-0.36,0
2026-09-15T19:40:19.799,25.548,0,0.000,-273.1,14.1,8.419,-0.24,0
2026-09-15T19:40:19.900,25.649,0,0.000,-273.1,14.3,8.419,-0.07,0
2026-09-15T19:40:20.000,25.749,0,0.000,-273.1,14.2,8.419,-0.36,0
2026-09-15T19:40:20.100,25.849,0,0.000,-273.1,14.2,8.419,-0.26,0
2026-09-15T19:40:20.200,25.949,0,0.000,-273.1,14.3,8.419,-0.29,0
2026-09-15T19:40:20.301,26.050,10,0.004,-273.1,14.0,8.419,-0.20,0
2026-09-15T19:40:20.401,26.150,10,0.004,-273.1,14.2,8.419,-0.06,0
2026-09-15T19:40:20.501,26.251,20,0.137,-273.1,14.4,8.419,0.01,0
2026-09-15T19:40:20.603,26.352,20,0.140,-273.1,14.2,8.419,0.31,0
2026-09-15T19:40:20.703,26.452,30,0.326,-273.1,14.1,8.419,1.03,0
2026-09-15T19:40:20.803,26.553,30,0.335,-273.1,14.2,8.419,0.95,0
2026-09-15T19:40:20.902,26.652,40,0.523,-273.1,14.4,8.419,2.03,0
2026-09-15T19:40:21.002,26.752,40,0.520,-60.4,13.9,8.419,2.41,0
2026-09-15T19:40:21.103,26.852,50,0.673,-68.1,13.9,8.419,2.51,0
2026-09-15T19:40:21.203,26.953,60,0.821,-273.1,13.9,8.419,2.91,0
2026-09-15T19:40:21.303,27.052,60,0.826,-273.1,13.8,8.419,3.37,0
2026-09-15T19:40:21.403,27.152,70,0.935,-273.1,13.8,8.419,3.55,0
2026-09-15T19:40:21.503,27.253,70,0.938,-83.9,13.7,8.419,4.33,0
2026-09-15T19:40:21.605,27.355,80,1.039,-273.1,13.8,8.419,3.90,0
2026-09-15T19:40:21.704,27.454,80,1.035,-273.1,13.7,8.419,4.13,0
2026-09-15T19:40:21.803,27.553,80,1.031,-273.1,13.6,8.419,4.24,0
2026-09-15T19:40:21.903,27.653,80,1.030,-273.1,13.7,8.419,4.31,0
2026-09-15T19:40:22.003,27.752,80,1.037,-273.1,13.8,8.419,4.22,0
2026-09-15T19:40:22.103,27.853,90,1.084,-273.1,13.3,8.419,4.47,0
2026-09-15T19:40:22.203,27.952,90,1.118,-273.1,13.9,8.419,4.36,0
2026-09-15T19:40:22.304,28.053,90,1.127,-273.1,13.6,8.419,4.93,0
2026-09-15T19:40:22.403,28.153,90,1.114,-71.8,13.8,8.419,5.26,0
2026-09-15T19:40:22.503,28.253,90,1.121,-273.1,13.6,8.419,4.84,0
2026-09-15T19:40:22.605,28.354,90,1.092,-273.1,13.5,8.419,4.72,0
2026-09-15T19:40:22.705,28.455,90,1.107,-273.1,13.5,8.419,4.77,0
2026-09-15T19:40:22.805,28.555,90,1.127,-273.1,13.6,8.419,4.48,0
2026-09-15T19:40:22.905,28.654,90,1.071,-273.1,13.4,8.419,4.67,0
2026-09-15T19:40:23.006,28.755,90,1.091,-273.1,13.1,8.419,4.97,0
2026-09-15T19:40:23.106,28.856,90,1.108,-90.0,13.6,8.419,5.02,0
2026-09-15T19:40:23.206,28.955,90,1.099,-273.1,13.6,8.419,5.30,0
2026-09-15T19:40:23.306,29.056,90,1.087,-273.1,13.4,8.419,5.34,0
2026-09-15T19:40:23.406,29.156,90,1.115,-273.1,13.5,8.419,6.05,0
2026-09-15T19:40:23.507,29.257,90,1.094,-273.1,13.3,8.419,4.89,0
2026-09-15T19:40:23.607,29.356,90,1.130,-273.1,13.1,8.419,5.23,0
