timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-18T12:55:16.506,235.399,0,1.075,-273.1,16.5,19.593,-0.07,0
2026-09-18T12:55:16.608,235.501,0,0.717,-273.1,16.3,19.593,0.00,0
2026-09-18T12:55:16.706,235.599,0,0.768,-273.1,16.4,19.593,0.01,0
2026-09-18T12:55:16.806,235.699,0,0.768,-67.0,16.3,19.593,0.08,0
2026-09-18T12:55:16.906,235.799,0,0.819,-273.1,16.3,19.593,0.28,0
2026-09-18T12:55:17.006,235.899,0,0.666,-273.1,16.4,19.593,-0.04,0
2026-09-18T12:55:17.107,236.000,0,0.666,-273.1,16.5,19.593,-0.04,0
2026-09-18T12:55:17.210,236.102,0,0.666,-273.1,16.3,19.593,-0.05,0
2026-09-18T12:55:17.307,236.200,0,0.973,-66.1,16.6,19.593,-0.13,0
2026-09-18T12:55:17.406,236.299,0,0.922,-273.1,16.6,19.593,-0.31,0
2026-09-18T12:55:17.506,236.399,0,0.922,-65.2,16.6,19.593,-0.21,0
2026-09-18T12:55:17.607,236.500,0,0.922,-273.1,16.5,19.593,0.02,0
2026-09-18T12:55:17.707,236.599,0,0.666,-273.1,16.7,19.593,-0.04,0
2026-09-18T12:55:17.806,236.699,0,0.461,-273.1,16.9,19.593,-0.32,0
2026-09-18T12:55:17.907,0.075,0,0.461,-273.1,16.7,19.593,-0.20,0
2026-09-18T12:55:18.007,0.176,0,0.870,-273.1,16.8,19.593,-0.13,0
2026-09-18T12:55:18.108,0.277,0,0.870,-273.1,16.6,19.593,-0.17,0
2026-09-18T12:55:18.210,0.379,0,0.614,-273.1,16.9,19.593,-0.12,0
2026-09-18T12:55:18.308,0.476,0,0.614,-273.1,16.7,19.593,-0.05,0
2026-09-18T12:55:18.408,0.577,0,1.024,-273.1,16.8,19.593,-0.13,0
2026-09-18T12:55:18.509,0.678,0,0.563,-273.1,16.6,19.593,-0.31,0
2026-09-18T12:55:18.608,0.777,0,0.870,-90.0,17.2,19.593,-0.08,0
2026-09-18T12:55:18.709,0.877,0,0.870,-90.0,16.9,19.593,-0.16,0
2026-09-18T12:55:18.810,0.978,0,0.870,-273.1,16.7,19.593,-0.02,0
2026-09-18T12:55:18.910,1.079,0,0.768,-273.1,16.6,19.593,-0.19,0
2026-09-18T12:55:19.010,1.179,0,0.819,-273.1,16.6,19.593,-0.18,0
2026-09-18T12:55:19.111,1.279,0,0.819,-273.1,16.6,19.593,-0.31,0
2026-09-18T12:55:19.212,1.381,0,0.717,-273.1,16.6,19.593,-0.15,0
2026-09-18T12:55:19.312,1.480,0,0.819,-273.1,16.5,19.593,-0.32,0
2026-09-18T12:55:19.412,1.581,0,0.922,-273.1,16.4,19.593,-0.30,0
2026-09-18T12:55:19.512,1.681,0,0.922,-273.1,16.5,19.593,-0.16,0
2026-09-18T12:55:19.612,1.781,10,0.512,-273.1,16.6,19.593,-0.20,0
2026-09-18T12:55:19.713,1.882,10,0.155,-273.1,16.6,19.593,-0.05,0
2026-09-18T12:55:19.817,1.985,20,0.017,-65.2,16.6,19.593,0.17,0
2026-09-18T12:55:19.913,2.081,20,0.017,-90.0,16.6,19.593,0.58,0
2026-09-18T12:55:20.014,2.182,30,0.126,-273.1,16.6,19.593,1.08,0
2026-09-18T12:55:20.114,2.283,30,0.260,-273.1,16.3,19.593,2.12,0
2026-09-18T12:55:20.214,2.383,40,0.260,-273.1,16.3,19.593,2.91,0
2026-09-18T12:55:20.315,2.484,40,0.344,-273.1,16.2,19.593,3.62,0
2026-09-18T12:55:20.415,2.584,50,0.452,-273.1,15.6,19.593,4.54,0
2026-09-18T12:55:20.516,2.685,50,0.592,-47.5,16.2,19.593,5.08,0
2026-09-18T12:55:20.615,2.784,60,0.592,-273.1,16.0,19.593,5.80,0
2026-09-18T12:55:20.716,2.885,60,0.677,-273.1,15.9,19.593,6.28,0
2026-09-18T12:55:20.817,2.986,70,0.729,-80.2,16.2,19.593,7.49,0
2026-09-18T12:55:20.917,3.086,70,0.822,-273.1,15.9,19.593,7.46,0
2026-09-18T12:55:21.018,3.186,80,0.822,-273.1,15.8,19.593,8.18,0
2026-09-18T12:55:21.117,3.286,80,0.858,-67.0,15.9,19.593,8.28,0
2026-09-18T12:55:21.217,3.385,90,0.908,-273.1,15.8,19.593,9.22,0
2026-09-18T12:55:21.318,3.486,90,0.970,-273.1,15.8,19.593,9.54,0
2026-09-18T12:55:21.418,3.586,100,0.970,-273.1,15.6,19.593,9.67,0
2026-09-18T12:55:21.518,3.687,100,1.005,-273.1,15.7,19.593,10.02,0
2026-09-18T12:55:21.619,3.788,110,1.035,-90.0,15.5,19.593,9.79,0
2026-09-18T12:55:21.719,3.887,120,1.063,-273.1,15.6,19.593,9.15,0
2026-09-18T12:55:21.819,3.987,120,1.063,-273.1,15.3,19.593,10.15,0
2026-09-18T12:55:21.919,4.088,130,1.091,-273.1,15.6,19.593,9.39,0
2026-09-18T12:55:22.019,4.188,130,1.105,-273.1,15.5,19.593,9.99,0
2026-09-18T12:55:22.120,4.288,140,1.122,-273.1,15.6,19.593,10.06,0
2026-09-18T12:55:22.219,4.388,140,1.122,-273.1,16.0,19.593,10.75,0
2026-09-18T12:55:22.319,4.487,150,1.133,-273.1,15.9,19.593,10.88,0
2026-09-18T12:55:22.419,4.588,150,1.148,-273.1,15.7,19.593,10.29,0
2026-09-18T12:55:22.520,4.689,160,1.148,-273.1,15.7,19.593,10.71,0
2026-09-18T12:55:22.620,4.789,170,1.159,-273.1,15.8,19.593,11.48,0
2026-09-18T12:55:22.721,4.889,170,1.170,-273.1,15.8,19.593,11.05,0
2026-09-18T12:55:22.824,4.993,180,1.181,-273.1,16.2,19.593,11.29,0
2026-09-18T12:55:22.921,5.089,180,1.181,-273.1,16.0,19.593,10.67,0
2026-09-18T12:55:23.020,5.188,190,1.193,-273.1,15.9,19.593,10.70,0
2026-09-18T12:55:23.120,5.289,190,1.200,-90.0,16.0,19.593,11.45,0
2026-09-18T12:55:23.219,5.388,200,1.211,-273.1,15.9,19.593,11.48,0
2026-09-18T12:55:23.320,5.489,200,1.211,-273.1,16.0,19.593,10.33,0
2026-09-18T12:55:23.420,5.588,210,1.221,-273.1,16.2,19.593,10.17,0
2026-09-18T12:55:23.520,5.688,210,1.232,-273.1,16.1,19.593,10.93,0
2026-09-18T12:55:23.621,5.790,220,1.241,-273.1,16.0,19.593,10.70,0
2026-09-18T12:55:23.722,5.890,220,1.241,-273.1,16.1,19.593,11.33,0
2026-09-18T12:55:23.821,5.990,230,1.255,-273.1,16.1,19.593,11.12,0
2026-09-18T12:55:23.921,6.090,240,1.262,-273.1,16.0,19.593,11.46,0
2026-09-18T12:55:24.022,6.191,240,1.275,-90.0,16.0,19.593,12.08,0
2026-09-18T12:55:24.122,6.291,250,1.275,-73.4,16.0,19.593,11.81,0
2026-09-18T12:55:24.223,6.392,250,1.280,-83.9,16.0,19.593,11.72,0
2026-09-18T12:55:24.324,6.492,255,1.295,-273.1,16.1,19.593,11.85,0
2026-09-18T12:55:24.423,6.592,255,1.312,-273.1,15.9,19.593,11.90,0
2026-09-18T12:55:24.523,6.692,255,1.312,-273.1,15.9,19.593,12.05,0
2026-09-18T12:55:24.624,6.793,255,1.317,-273.1,16.2,19.593,11.75,0
2026-09-18T12:55:24.724,6.893,255,1.321,-83.9,16.2,19.593,12.00,0
2026-09-18T12:55:24.824,6.992,255,1.321,-273.1,16.2,19.593,12.02,0
2026-09-18T12:55:24.925,7.093,255,1.324,-273.1,15.9,19.593,12.12,0
