timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-18T13:26:55.572,252.655,0,0.922,-273.1,16.8,19.593,-0.12,0
2026-09-18T13:26:55.674,252.757,0,0.819,-273.1,16.8,19.593,-0.12,0
2026-09-18T13:26:55.771,252.854,0,1.178,-273.1,16.5,19.593,-0.24,0
2026-09-18T13:26:55.871,252.954,0,1.178,-273.1,16.4,19.593,-0.45,0
2026-09-18T13:26:55.972,253.055,0,0.819,-273.1,16.1,19.593,-0.22,0
2026-09-18T13:26:56.072,253.155,0,1.280,-273.1,16.0,19.593,-0.27,0
2026-09-18T13:26:56.173,253.256,0,0.922,-90.0,15.7,19.593,-0.12,0
2026-09-18T13:26:56.272,253.355,0,0.922,-273.1,15.2,19.593,-0.14,0
2026-09-18T13:26:56.372,253.455,0,0.973,-273.1,14.9,19.593,-0.08,0
2026-09-18T13:26:56.472,253.555,0,0.973,-273.1,14.7,19.593,-0.30,0
2026-09-18T13:26:56.573,253.656,0,0.973,-273.1,15.0,19.593,-0.10,0
2026-09-18T13:26:56.675,253.758,0,0.973,-83.9,14.8,19.593,-0.24,0
2026-09-18T13:26:56.773,253.856,0,0.768,-273.1,14.7,19.593,-0.54,0
2026-09-18T13:26:56.873,253.956,0,0.819,-273.1,14.6,19.593,-0.03,0
2026-09-18T13:26:56.973,254.056,0,0.768,-273.1,14.7,19.593,0.09,0
2026-09-18T13:26:57.074,254.157,0,0.768,-273.1,15.0,19.593,-0.08,0
2026-09-18T13:26:57.173,0.018,0,1.126,-273.1,14.9,19.593,-0.27,0
2026-09-18T13:26:57.274,0.119,0,0.819,-273.1,15.2,19.593,0.17,0
2026-09-18T13:26:57.374,0.219,0,0.819,-273.1,15.3,19.593,0.07,0
2026-09-18T13:26:57.474,0.319,0,0.973,-273.1,15.8,19.593,-0.06,0
2026-09-18T13:26:57.574,0.419,0,0.922,-273.1,15.7,19.593,0.01,0
2026-09-18T13:26:57.675,0.520,0,1.075,-273.1,16.1,19.593,-0.12,0
2026-09-18T13:26:57.775,0.620,0,1.075,-273.1,16.1,19.593,0.20,0
2026-09-18T13:26:57.875,0.720,0,0.717,-273.1,16.1,19.593,-0.11,0
2026-09-18T13:26:57.976,0.821,0,0.768,-273.1,16.9,19.593,0.08,0
2026-09-18T13:26:58.079,0.924,0,0.768,-273.1,16.7,19.593,-0.08,0
2026-09-18T13:26:58.177,1.022,0,0.768,-273.1,16.7,19.593,0.16,0
2026-09-18T13:26:58.277,1.122,0,0.768,-273.1,16.5,19.593,-0.08,0
2026-09-18T13:26:58.377,1.222,0,1.229,-273.1,16.4,19.593,0.01,0
2026-09-18T13:26:58.477,1.322,0,0.973,-273.1,16.1,19.593,0.13,0
2026-09-18T13:26:58.577,1.422,0,0.973,-273.1,16.2,19.593,-0.06,0
2026-09-18T13:26:58.678,1.523,0,0.922,-273.1,15.8,19.593,-0.26,0
2026-09-18T13:26:58.778,1.623,0,0.666,-273.1,15.8,19.593,0.00,0
2026-09-18T13:26:58.878,1.723,10,0.512,-273.1,15.5,19.593,0.03,0
2026-09-18T13:26:58.978,1.823,10,0.512,-273.1,15.2,19.593,0.12,0
2026-09-18T13:26:59.079,1.924,20,0.005,-273.1,15.0,19.593,0.80,0
2026-09-18T13:26:59.177,2.022,30,0.117,-273.1,14.9,19.593,0.99,0
2026-09-18T13:26:59.277,2.123,30,0.257,-273.1,14.4,19.593,2.13,0
2026-09-18T13:26:59.377,2.222,40,0.257,-273.1,14.4,19.593,3.22,0
2026-09-18T13:26:59.478,2.323,40,0.349,-75.2,14.7,19.593,3.66,0
2026-09-18T13:26:59.580,2.425,50,0.454,-273.1,14.6,19.593,4.07,0
2026-09-18T13:26:59.680,2.525,50,0.454,-273.1,14.8,19.593,5.15,0
2026-09-18T13:26:59.780,2.625,60,0.586,-273.1,14.6,19.593,5.38,0
