timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-18T11:12:10.744,193.939,0,0.000,-273.1,15.6,0.000,0.01,0
2026-09-18T11:12:10.842,194.037,0,0.000,-273.1,15.5,0.000,0.09,0
2026-09-18T11:12:10.942,194.137,0,0.000,-273.1,15.3,0.000,0.12,0
2026-09-18T11:12:11.042,194.238,0,-0.000,-273.1,15.3,0.000,0.06,0
2026-09-18T11:12:11.143,194.338,0,0.000,-273.1,15.0,0.000,0.14,0
2026-09-18T11:12:11.243,194.438,0,0.000,-273.1,14.8,0.000,0.05,0
2026-09-18T11:12:11.346,194.541,0,0.000,-273.1,14.4,0.000,-0.01,0
2026-09-18T11:12:11.444,194.639,0,0.000,-273.1,14.3,0.000,0.01,0
2026-09-18T11:12:11.544,194.739,0,0.000,-273.1,13.9,0.000,0.01,0
2026-09-18T11:12:11.644,194.839,0,0.000,-75.2,13.3,0.000,0.12,0
2026-09-18T11:12:11.745,194.940,0,0.000,-273.1,13.2,0.000,0.06,0
2026-09-18T11:12:11.847,195.042,0,0.000,-273.1,13.6,0.000,-0.20,0
2026-09-18T11:12:11.945,0.084,0,-0.000,-273.1,12.9,0.000,-0.10,0
2026-09-18T11:12:12.044,0.183,0,0.000,-273.1,13.1,0.000,0.08,0
2026-09-18T11:12:12.144,0.283,0,0.000,-273.1,12.8,0.000,-0.19,0
2026-09-18T11:12:12.244,0.384,0,0.000,-273.1,12.5,0.000,-0.20,0
2026-09-18T11:12:12.344,0.483,0,0.000,-273.1,12.0,0.000,-0.12,0
2026-09-18T11:12:12.445,0.584,0,0.000,-273.1,12.2,0.000,0.17,0
2026-09-18T11:12:12.545,0.684,0,0.000,-273.1,11.4,0.000,-0.05,0
2026-09-18T11:12:12.646,0.785,0,0.000,-273.1,11.3,0.000,0.05,0
2026-09-18T11:12:12.745,0.884,0,0.000,-273.1,11.6,0.000,0.13,0
2026-09-18T11:12:12.845,0.985,0,0.000,-273.1,11.5,-194.403,0.23,0
