timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-17T16:02:47.170,19.034,0,0.000,-273.1,14.4,2.526,-0.17,0
2026-09-17T16:02:47.272,19.135,0,0.000,-71.8,12.6,2.526,-0.17,0
2026-09-17T16:02:47.372,19.236,0,0.000,-273.1,13.2,2.526,-0.29,0
2026-09-17T16:02:47.472,19.336,0,0.000,-70.4,12.1,2.526,-0.36,0
2026-09-17T16:02:47.574,19.437,0,-0.000,-273.1,11.0,2.526,-0.16,0
2026-09-17T16:02:47.673,19.537,0,0.000,-273.1,12.7,2.526,-0.37,0
2026-09-17T16:02:47.774,19.638,0,-0.000,-273.1,11.5,2.526,-0.17,0
2026-09-17T16:02:47.875,19.738,0,0.000,-90.0,10.6,2.526,-0.27,0
2026-09-17T16:02:47.975,19.838,0,-0.000,-273.1,10.5,2.526,-0.24,0
2026-09-17T16:02:48.075,19.939,0,0.000,-273.1,10.5,2.526,-0.08,0
2026-09-17T16:02:48.176,20.040,0,-0.000,-273.1,10.6,2.526,-0.35,0
2026-09-17T16:02:48.275,20.139,0,0.000,-273.1,11.3,2.526,-0.27,0
2026-09-17T16:02:48.375,20.238,0,0.000,-273.1,11.6,2.526,-0.25,0
2026-09-17T16:02:48.475,20.339,0,0.000,-273.1,11.8,2.526,-0.19,0
2026-09-17T16:02:48.575,20.439,0,0.000,-71.8,12.6,2.526,-0.18,0
2026-09-17T16:02:48.675,20.538,0,0.000,-273.1,12.5,2.526,-0.24,0
2026-09-17T16:02:48.775,20.639,0,0.000,-273.1,13.0,2.526,-0.06,0
2026-09-17T16:02:48.875,20.739,0,0.000,-273.1,12.9,2.526,0.02,0
2026-09-17T16:02:48.976,20.839,0,0.000,-273.1,13.0,2.526,0.10,0
2026-09-17T16:02:49.075,20.938,0,0.000,-273.1,14.3,2.526,0.21,0
2026-09-17T16:02:49.175,0.007,0,0.000,-273.1,14.5,2.526,0.24,0
2026-09-17T16:02:49.275,0.108,0,0.000,-273.1,14.7,2.526,0.16,0
2026-09-17T16:02:49.375,0.208,0,-0.000,-273.1,14.7,2.526,0.01,0
2026-09-17T16:02:49.476,0.308,0,0.000,-273.1,14.3,2.526,0.11,0
