timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-17T16:15:37.433,242.810,0,0.000,-273.1,11.3,2.526,-0.06,0
2026-09-17T16:15:37.534,242.911,0,0.000,-273.1,11.4,2.526,-0.16,0
2026-09-17T16:15:37.633,243.009,0,0.000,-273.1,11.0,2.526,0.15,0
2026-09-17T16:15:37.733,243.110,0,0.000,-273.1,11.2,2.526,0.34,0
2026-09-17T16:15:37.833,243.210,0,0.000,-273.1,11.4,2.526,0.20,0
2026-09-17T16:15:37.933,243.310,0,0.000,-273.1,11.4,2.526,0.18,0
2026-09-17T16:15:38.033,243.410,0,0.000,-273.1,11.5,2.526,-0.24,0
2026-09-17T16:15:38.132,243.509,0,0.000,-273.1,11.8,2.526,0.14,0
2026-09-17T16:15:38.233,243.610,0,0.000,-273.1,12.0,2.526,0.08,0
2026-09-17T16:15:38.334,243.710,0,0.000,-273.1,11.6,2.526,-0.11,0
2026-09-17T16:15:38.434,243.811,0,-0.000,-273.1,11.7,2.526,-0.06,0
2026-09-17T16:15:38.533,243.910,0,0.000,-273.1,12.1,2.526,0.37,0
2026-09-17T16:15:38.634,244.011,0,0.000,-273.1,12.3,2.526,0.23,0
2026-09-17T16:15:38.734,0.095,0,-0.000,-273.1,12.1,2.526,0.09,0
2026-09-17T16:15:38.834,0.196,0,0.000,-273.1,12.0,2.526,0.11,0
2026-09-17T16:15:38.935,0.296,0,0.000,-273.1,11.9,2.526,0.02,0
2026-09-17T16:15:39.035,0.397,0,0.000,-273.1,11.9,2.526,-0.07,0
2026-09-17T16:15:39.134,0.495,0,0.000,-273.1,12.8,2.526,0.44,0
2026-09-17T16:15:39.235,0.597,0,0.000,-273.1,11.7,2.526,0.06,0
2026-09-17T16:15:39.335,0.697,0,0.000,-66.1,12.0,2.526,0.42,0
2026-09-17T16:15:39.436,0.797,0,0.000,-80.2,11.9,2.526,0.02,0
2026-09-17T16:15:39.536,0.897,0,0.000,-273.1,12.1,2.526,-0.16,0
2026-09-17T16:15:39.636,0.997,0,0.000,-273.1,12.2,2.526,-0.05,0
2026-09-17T16:15:39.736,1.098,0,0.000,-273.1,12.1,2.526,0.26,0
2026-09-17T16:15:39.837,1.198,0,0.000,-90.0,11.9,2.526,0.14,0
2026-09-17T16:15:39.937,1.298,0,0.000,-273.1,12.0,2.526,0.13,0
2026-09-17T16:15:40.037,1.399,0,0.000,-273.1,12.0,2.526,0.10,0
2026-09-17T16:15:40.139,1.501,0,0.000,-273.1,11.8,2.526,-0.12,0
2026-09-17T16:15:40.239,1.601,0,0.000,-273.1,11.6,2.526,-0.15,0
2026-09-17T16:15:40.338,1.699,0,0.000,-273.1,12.5,2.526,0.05,0
2026-09-17T16:15:40.438,1.799,0,0.000,-273.1,12.1,2.526,0.02,0
2026-09-17T16:15:40.539,1.900,0,0.000,-67.0,12.5,2.526,0.09,0
2026-09-17T16:15:40.637,1.999,0,0.000,-273.1,13.4,2.526,0.08,0
2026-09-17T16:15:40.739,2.100,0,0.000,-273.1,13.8,2.526,-0.09,0
2026-09-17T16:15:40.837,2.199,0,0.000,-273.1,14.1,2.526,-0.16,0
2026-09-17T16:15:40.938,2.299,0,0.000,-273.1,14.2,2.526,0.01,0
2026-09-17T16:15:41.038,2.399,0,0.000,-273.1,14.1,2.526,0.03,0
2026-09-17T16:15:41.138,2.500,0,0.000,-273.1,13.7,2.526,0.02,0
2026-09-17T16:15:41.240,2.601,10,0.002,-273.1,13.2,2.526,0.16,0
2026-09-17T16:15:41.340,2.701,10,0.002,-273.1,14.0,2.526,0.01,0
2026-09-17T16:15:41.439,2.800,10,0.002,-273.1,14.2,2.526,0.20,0
2026-09-17T16:15:41.539,2.901,10,0.001,-273.1,14.2,2.526,0.03,0
2026-09-17T16:15:41.639,3.000,20,0.127,-273.1,14.4,2.526,0.59,0
2026-09-17T16:15:41.739,3.100,20,0.127,-273.1,14.5,2.526,0.88,0
2026-09-17T16:15:41.839,3.200,30,0.332,-273.1,14.4,2.526,1.74,0
2026-09-17T16:15:41.939,3.300,30,0.332,-273.1,14.3,2.526,2.62,0
2026-09-17T16:15:42.040,3.401,30,0.332,-273.1,14.4,2.526,2.54,0
2026-09-17T16:15:42.139,3.501,40,0.510,-273.1,14.2,2.526,3.56,0
2026-09-17T16:15:42.240,3.601,40,0.503,-273.1,14.2,2.526,4.29,0
2026-09-17T16:15:42.340,3.701,40,0.513,-64.4,14.1,2.526,4.98,0
2026-09-17T16:15:42.440,3.801,50,0.671,-273.1,14.0,2.526,5.41,0
2026-09-17T16:15:42.541,3.902,50,0.660,-273.1,14.2,2.526,5.15,0
2026-09-17T16:15:42.641,4.002,50,0.664,-273.1,14.0,2.526,5.92,0
2026-09-17T16:15:42.741,4.103,50,0.667,-273.1,14.0,2.526,5.73,0
2026-09-17T16:15:42.841,4.202,50,0.694,-273.1,14.6,2.526,6.11,0
2026-09-17T16:15:42.940,4.302,60,0.784,-70.4,14.6,2.526,6.00,0
2026-09-17T16:15:43.040,4.402,60,0.788,-273.1,14.8,2.526,7.01,0
2026-09-17T16:15:43.141,4.502,60,0.773,-273.1,14.7,2.526,6.80,0
2026-09-17T16:15:43.241,4.602,60,0.793,-273.1,14.9,2.526,7.29,0
2026-09-17T16:15:43.340,4.702,60,0.779,-70.4,14.8,2.526,7.09,0
2026-09-17T16:15:43.439,4.801,70,0.864,-273.1,15.6,2.526,6.59,0
2026-09-17T16:15:43.541,4.903,70,0.875,-273.1,15.2,2.526,7.18,0
2026-09-17T16:15:43.640,5.002,70,0.877,-273.1,15.6,2.526,7.77,0
2026-09-17T16:15:43.741,5.102,70,0.876,-273.1,15.2,2.526,7.72,0
2026-09-17T16:15:43.841,5.203,70,0.872,-273.1,15.3,2.526,7.80,0
2026-09-17T16:15:43.942,5.303,70,0.881,-77.4,15.5,2.526,8.29,0
2026-09-17T16:15:44.041,5.403,80,0.942,-273.1,15.8,2.526,7.98,0
2026-09-17T16:15:44.141,5.503,80,0.949,-273.1,15.4,2.526,8.27,0
2026-09-17T16:15:44.242,5.603,80,0.960,-83.9,15.5,2.526,8.17,0
2026-09-17T16:15:44.346,5.707,80,0.957,-273.1,15.3,2.526,7.94,0
2026-09-17T16:15:44.443,5.804,80,0.946,-273.1,15.2,2.526,7.76,0
2026-09-17T16:15:44.542,5.903,80,0.953,-273.1,14.9,2.526,8.84,0
2026-09-17T16:15:44.642,6.004,80,0.957,-273.1,14.7,2.526,8.58,0
2026-09-17T16:15:44.741,6.102,80,0.965,-273.1,14.2,2.526,8.77,0
2026-09-17T16:15:44.841,6.203,80,0.956,-273.1,14.2,2.526,8.59,0
2026-09-17T16:15:44.942,6.303,80,0.959,-273.1,14.2,2.526,8.64,0
2026-09-17T16:15:45.042,6.403,81,0.968,-273.1,14.2,2.526,8.34,0
2026-09-17T16:15:45.146,6.508,81,0.975,-273.1,13.9,2.526,8.03,0
2026-09-17T16:15:45.241,6.603,82,0.985,-83.9,13.9,48.448,8.64,0
2026-09-17T16:15:45.341,6.703,82,0.994,-273.1,13.7,2.526,8.33,0
2026-09-17T16:15:45.442,6.803,83,0.982,-273.1,13.9,2.526,8.88,0
2026-09-17T16:15:45.543,6.904,83,0.979,-273.1,14.3,2.526,9.21,0
2026-09-17T16:15:45.643,7.004,83,0.970,-273.1,14.2,2.526,7.77,0
2026-09-17T16:15:45.742,7.103,84,1.003,-273.1,13.7,2.526,9.41,0
2026-09-17T16:15:45.842,7.204,84,1.000,-273.1,13.5,2.526,9.25,0
2026-09-17T16:15:45.943,7.304,84,1.003,-273.1,13.6,2.475,8.84,0
2026-09-17T16:15:46.042,7.404,84,0.984,-273.1,13.9,2.431,8.45,0
2026-09-17T16:15:46.144,7.505,84,1.001,-273.1,14.1,2.526,9.06,0
2026-09-17T16:15:46.244,7.605,84,1.005,-273.1,14.2,2.526,8.32,0
2026-09-17T16:15:46.346,7.707,84,1.014,-273.1,14.1,2.526,8.77,0
2026-09-17T16:15:46.447,7.808,84,0.994,-273.1,14.0,2.526,8.25,0
2026-09-17T16:15:46.546,7.907,84,0.989,-273.1,13.7,2.478,8.59,0
2026-09-17T16:15:46.645,8.006,84,0.981,-273.1,14.0,2.526,8.32,0
2026-09-17T16:15:46.745,8.106,84,1.003,-273.1,13.9,2.526,8.66,0
2026-09-17T16:15:46.845,8.207,84,0.974,-273.1,13.9,2.526,8.48,0
2026-09-17T16:15:46.946,8.307,84,0.990,-273.1,14.0,2.526,9.59,0
2026-09-17T16:15:47.046,8.408,84,0.996,-273.1,14.2,2.526,8.51,0
2026-09-17T16:15:47.146,8.508,84,1.002,-273.1,14.1,2.526,8.98,0
2026-09-17T16:15:47.247,8.608,84,0.994,-273.1,14.1,2.526,7.91,0
