timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-17T15:40:07.254,278.423,0,0.000,-273.1,10.9,2.526,0.08,0
2026-09-17T15:40:07.354,278.523,0,0.000,-273.1,11.2,2.526,0.21,0
2026-09-17T15:40:07.454,278.623,0,0.000,-273.1,10.9,2.526,0.17,0
2026-09-17T15:40:07.553,278.722,0,0.000,-273.1,11.0,2.526,-0.49,0
2026-09-17T15:40:07.654,278.823,0,0.000,-273.1,10.8,2.526,0.01,0
2026-09-17T15:40:07.755,278.924,0,0.000,-90.0,10.9,2.526,-0.33,0
2026-09-17T15:40:07.855,279.024,0,-0.000,-273.1,10.9,2.526,-0.05,0
2026-09-17T15:40:07.955,279.124,0,0.000,-90.0,11.2,2.526,-0.13,0
2026-09-17T15:40:08.054,279.223,0,0.000,-90.0,11.3,2.526,-0.07,0
2026-09-17T15:40:08.154,279.323,0,0.000,-273.1,11.7,2.526,-0.27,0
2026-09-17T15:40:08.255,279.424,0,0.000,-273.1,11.2,2.526,-0.17,0
2026-09-17T15:40:08.356,279.525,0,-0.000,-273.1,10.9,2.526,-0.02,0
2026-09-17T15:40:08.458,279.627,0,-0.000,-273.1,11.2,2.526,0.05,0
2026-09-17T15:40:08.556,279.725,0,0.000,-83.9,10.9,2.526,0.22,0
2026-09-17T15:40:08.656,279.825,0,0.000,-273.1,10.8,2.526,0.36,0
2026-09-17T15:40:08.757,0.085,0,0.000,-273.1,10.8,2.526,-0.05,0
2026-09-17T15:40:08.857,0.185,0,0.000,-273.1,11.2,2.526,-0.09,0
2026-09-17T15:40:08.957,0.285,0,0.000,-273.1,11.8,2.526,0.25,0
2026-09-17T15:40:09.056,0.384,0,0.000,-64.4,12.0,2.526,0.03,0
2026-09-17T15:40:09.157,0.485,0,0.000,-273.1,11.7,2.526,-0.17,0
2026-09-17T15:40:09.257,0.586,0,0.000,-273.1,12.4,2.526,-0.05,0
2026-09-17T15:40:09.357,0.685,0,0.000,-273.1,12.2,2.526,-0.08,0
2026-09-17T15:40:09.458,0.786,0,0.000,-90.0,11.8,2.526,-0.14,0
2026-09-17T15:40:09.557,0.886,0,0.000,-80.2,11.4,2.526,0.12,0
2026-09-17T15:40:09.659,0.987,0,0.000,-63.6,11.2,2.526,0.00,0
2026-09-17T15:40:09.759,1.087,0,0.000,-90.0,11.3,2.526,-0.01,0
2026-09-17T15:40:09.858,1.186,0,0.000,-83.9,11.5,2.526,-0.16,0
2026-09-17T15:40:09.959,1.287,0,0.000,-273.1,11.1,2.526,-0.04,0
2026-09-17T15:40:10.060,1.388,0,0.000,-90.0,10.7,2.526,-0.05,0
2026-09-17T15:40:10.161,1.489,0,0.000,-83.9,11.0,2.526,-0.13,0
2026-09-17T15:40:10.261,1.589,0,0.000,-73.4,11.0,2.526,-0.08,0
2026-09-17T15:40:10.361,1.689,0,0.000,-83.9,10.9,2.526,0.06,0
2026-09-17T15:40:10.461,1.789,0,0.000,-77.4,10.8,2.526,-0.07,0
2026-09-17T15:40:10.560,1.888,0,0.000,-90.0,11.2,2.526,-0.20,0
